1	duty|task
innovation	Weick's innovation was transferring this concept into the organizational literature as “collective mindfulness.” The effective adoption of collective mindfulness characteristics by an organization appears to cultivate safer cultures that exhibit improved system outcomes.
26	opportunity|possibility
opportunity	At "Smash Hits", an opportunity arose for him to go to New York to interview The Police.
opportunity	By the summer of 2003, the Progressive Conservatives received an unexpected opportunity to re-gain popularity in the form of the 2003 North American blackout.
opportunity	Canada declared war on Germany on September 10, 1939, and sent one division to Europe, which did not have an opportunity to engage in combat before France was defeated by Germany.
opportunity	Faced with a shortage of infantry replacements during the enemy's counteroffensive, General Eisenhower offered black soldiers in service units an opportunity to volunteer for duty with the infantry.
opportunity	From the approximately 800 entries that were submitted, "In a Happy Place" by Sikkim-based filmmaker Sandup Lepcha won the contest, receiving $3,000 and an opportunity to have Sakamoto compose for his next film.
opportunity	SEAL's who decide not to leave a year earlier have the opportunity to do a 3rd year of VCE, therefore allowing them to try/do more electives.
opportunity	The convention provided the public with an opportunity to see the Conservative Party in a new light, appearing to have reduced the focus on its controversial social conservative agenda.
opportunity	The log notes provide any authorized person the opportunity to quickly search and identify any segment of the proceeding they wish to review.
opportunity	They also feared a war on two fronts, namely that the local tribes would seize the opportunity to rebel and the simmering unrest in the Transvaal would be re-ignited.
opportunity	When the officer looks down at his stained shirt and is distracted, the young woman gains the opportunity to flee.
possibility	A more likely possibility is *kasikas for Kheziga, the same as Kheriga's uncle, the successor to Kuprlli, who predeceased him.
possibility	Additionally George Perle explains that, "the 'free' atonality that preceded dodecaphony precludes by definition the possibility of self-consistent, generally applicable compositional procedures" .
possibility	David Hume discussed the possibility that the entire debate about free will is nothing more than a merely "verbal" issue.
possibility	In 2018, Albarn said that a Blur reunion is "Never not a possibility", and confessed "I’d hate to think I’d never play with those musicians again."
possibility	In 2018, Albarn said that a Blur reunion is "Never not a possibility", and confessed "I’d hate to think I’d never play with those musicians again."
possibility	Most other Dark Lords have similar tales of frustration, kept all the more unbearable because the flicker of the possibility of success is never truly extinguished.
possibility	One possibility is that before evolution was developed as a scientific theory, there existed an essentialist view of biology that posited all species to be unchanging throughout time.
possibility	Recent research has shown the possibility of using smartphones’ sensors and accessories to extract some behavioral attributes such as touch dynamics, keystroke dynamics and gait recognition.
possibility	The CDC investigated the source and the possibility that it was contracted from an African drum recently used by the woman taking part in a drum circle.
possibility	This possibility is sometimes referred to as bubble fusion and is likened to the implosion design used in the fusion component of thermonuclear weapons.
27	briefly|shortly
briefly	After "Gia" wrapped, she briefly gave up acting, because she felt that she had "nothing else to give."
briefly	After World War II, Chidsey briefly served as assistant dean of students of the University of Chicago, with supervision over undergraduate activities.
briefly	Between 2010 and 2014, PSYOP was renamed Military Information Support Operations (MISO), then briefly renamed PSYOP in Aug 2014, only to return to MISO shortly thereafter in 2015.
briefly	Compared with the club's double-winning side of 1998, only Patrick Vieira and Dennis Bergkamp remained as first team players throughout the unbeaten run; Martin Keown and Ray Parlour featured briefly.
briefly	Fauna comes by briefly to tell Hazel that she has run his "horror scope" and that he will one day be President.
briefly	He briefly coached collegiate basketball at Cleveland Chiropractic College (1937) in Kansas City, Missouri as well.
briefly	In the winter of 1477/78 Crimea was briefly conquered by Janibeg, a nephew of Akhmed Khan of the Great Horde.
briefly	Lubalin would briefly land at Reiss Advertising, and then (in 1945) at Sudler & Hennessey, where he worked for 19 years.
briefly	Some people are "wrongly" in love, others are "briefly" in love, and so on.
briefly	The rebellion occurred anyway, and the rebels briefly occupied Horikoshi Castle before receiving word of the defeat of the Western Army, and surrendering without a fight.
shortly	"A Thousand Leaves" is the follow-up to Sonic Youth's 1995 album "Washing Machine", which was released shortly after the band concluded their stint headlining the 1995 Lollapalooza music festival.
shortly	After a visit to North Korea in 1971, Ceaușescu was impressed by the "Juche" ideology of that country, and began a massive campaign shortly afterwards.
shortly	Directed by English music video and film director Nigel Dick, the special aired on Lifetime Television, and shortly after was released on VHS and LaserDisc.
shortly	Geffen shortly after released her "The Wanderer" album, the lead single of which reached #3 on the "Billboard" Hot 100, and the album certified gold.
shortly	He resumed sea duty on board in April 1895, and was shortly afterwards transferred to on which he served during the Spanish–American War and participated in the Battle of Manila Bay.
shortly	However, by the time of his last budget shortly before a general election there were early signs of a recovery, which Howe used to justify a cut in taxes.
shortly	In 1852, shortly before his death, he did find a willing audience for his ideas: the occultist Eliphas Levi who met Wroński and was greatly impressed and "attracted by his religious and scientific utopianism."
shortly	In early July 1992, shortly after the New York City Pride March, Johnson's body was found floating in the Hudson River off the West Village Piers.
shortly	Nixon was shortly afterward faced with two new vacancies on the high bench due to the retirements of John Marshall Harlan and Hugo Black in 1971.
shortly	The single's lack of success resulted in the album being shelved and the reformed band broke up again shortly afterwards.
28	acknowledge|admit
acknowledge	In 1956, he was elected Deputy Leader of the Liberal Party and became Leader of the House, and from this point on, he was generally acknowledged as Menzies' heir apparent
acknowledge	Subsequently, "Philae" failed to respond to further commands, and by January 2016, controllers acknowledged no further communications were likely
acknowledge	Formally, the use of sound to create atmosphere, and of "symbols" (images that take on an expanded function within the poem), betray a move towards considering the poem as a self-referential object, an idea further developed by the Symbolists Verlaine and Mallarmé, who acknowledge Baudelaire as a pioneer in this regard.
acknowledge	Technical publications, especially standards produced by the IETF and by the W3C, normally reflect a view outlined in a W3C Recommendation of 2001, which acknowledges the precedence of the term URI rather than endorsing any formal subdivision into URL and URN
acknowledge	He stepped down from his role as governor and announced his retirement from public life after acknowledging accusations that he sexually assaulted his aide Kim Ji-eun on multiple occasions.
acknowledge	Jasper Tudor acknowledged paternity of no illegitimate children during his lifetime and none are mentioned in his will.\n', 'target_word': 'acknowledged'}
acknowledge	Other court cases have affirmed these rights like the Supreme Court of Belize's 2013 decision to uphold its ruling in 2010 that acknowledges customary land titles as communal land for indigenous peoples.
acknowledge	An additional award of $150,000 went to the second place team, JMCC WING, based in South Point, Hawaii, to acknowledge the team's ingenuity in developing a unique technological approach.
acknowledge	He acknowledges that he is the father but still does not want to marry Priya.
acknowledge	Despite this lack of charges or evidence, in response to the accusations Afra responded in a post to his personal Facebook account, acknowledging behavior in which "I have veered away from what I knew was right and caused pain to those around me including family and friends," adding he was "saddened, shocked, and embarrassed...for the developments over the last several days
admit	However, pleasing his parents was important to Tom, although he did not admit that out loud.
admit	He would later admit that he used Human Growth Hormone (HGH), a legal substance, banned by Major League Baseball, in order to recover from his injury in the minor leagues.
admit	However, once a client admits taking help from Pluto, in order to keep their identity a secret, or even as punishment, hypnotism will be carried out on the client which makes them lose their sanity.
admit	Jadhav said that she admired Patil, but refused to admit that she had emulated her.
admit	Oscar later admits to hitting her leaving Tamara upset, she finds out she could become blind which results in her wanting to leave Summer Bay to be with her parents
admit	In this capacity, in November 2008 Darby faced criticism after admitting carrying out BNP party political work from his office as Barnbrook's assistant at City Hall; Darby denied that he used GLA resources and said that he always made up any office hours spent on party activities.
admit	Defence Minister Robert Hill admits that his office knew of allegations of abuse of Iraqi prisoners.
admit	Writing for "Noisey", Jason Schreurs called the record his longtime favorite SNFU album, although Schreurs admits that it was later eclipsed by their debut, "...And No One Else Wanted to Play"
admit	Stephen admits to giving her aspirin, though did not realize she was getting sicker because of it, whilst Megan figures out that Daphne was electrocuted.
admit	Randy and Sharon Marsh arrive and continue blatantly lying to Stan, insisting that more future selves must be coming back in time to the present, which finally causes Stan to snap and tell them that he knows all about Motivation Corp., and that he was trying to get them to admit they lied to him.
29	real|authentic
real	The customary acceptance of the fact that any real number "x" has a decimal expansion is an implicit acknowledgment that a particular Cauchy sequence of rational numbers (whose terms are the successive truncations of the decimal expansion of "x") has the real limit "x".
real	An alternative option for coordinates in the complex plane is the polar coordinate system that uses the distance of the point from the origin ("O"), and the angle subtended between the positive real axis and the line segment "Oz" in a counterclockwise sense.
real	Express as what she called her first real backing group.
real	Because of the elevated spur's removal, real estate speculators believed that Lexington Avenue would become the "Broadway of the East Side", causing a ripple effect that would spur developments farther east.
real	The normal distribution is symmetric about its mean, and is non-zero over the entire real line.
real	For example, consider formula_32 and formula_33, the infinite direct product and direct sum of the real numbers.
real	The heroine of Liar-Soft's visual novel "" (2008), Mary Clarissa Christie, is based on the real-life Christie.
real	Edward Petherbridge also played Wimsey in the UK production of the "Busman's Honeymoon" play staged at the Lyric Hammersmith and on tour in 1988, with the role of Harriet being taken by his real-life spouse, Emily Richard.
real	The film reveals the real dacoity incidents which held in Tamil Nadu between 1995 and 2005.
real	The economy saw continuous real GDP growth of at least 5% since 2004.
authentic	He dealt with the conflict of a sensitive individual in middle age, unable to achieve an authentic identity.
authentic	Charleson, who had studied the Bible intensively in preparation for the role, told director Hugh Hudson that he didn't feel the portentous and sanctimonious scripted speech was either authentic or inspiring.
authentic	Christianity Today gave the album three stars, noting that "[Know Hope Collective] explore themes of brokenness and restoration, but the music lacks lyrical vulnerability, and a more authentic sound would have lent better to the intended intimate atmosphere.
authentic	Burke wrote of the trial: "It rarely happens to a party to have the opportunity of a clear, authentic, recorded, declaration of their political tenets upon the subject of a great constitutional event like that of the [Glorious] Revolution".
authentic	Based on the results of research by Joshua Rifkin and Andrew Parrott on the authentic performance of Bach's masses, cantatas and passions, Sigiswald Kuijken limits the vocal part to a solo vocal quartet (which Bach himself sometimes extended to eight singers) instead of a choir.
authentic	Today, one can visit the Whaling Museum in New Bedford, Massachusetts and encounter authentic Portuguese whaling history.
authentic	Studies of the character and evolution of the Chilean short story have established categorically that Federico Gana is the authentic discoverer of the Chilean countryside as a theme of national literature.
authentic	In the letter, he requested the Akhara Parishad to consider older printed editions of the Ramcharitmanas as authentic, not others.
authentic	Stuart said it would be like "trying to repaint the 'Mona Lisa'", in that it requires authentic commitment to the task.
authentic	If the decree is authentic, the abandonment of Attica was part of a considered strategy aiming to draw the Persians into naval combat at Artemisium or Salamis.
30	delay|postpone
delay	He delayed any personal appearances until after Roosevelt's nomination was secured.
delay	Delays led to it being outnumbered in use by the Sherman Firefly—but a derivative of Challenger was the more or less open-topped variant "Avenger", which was delayed until post war before entering service.
delay	The lake also delays the warming of the area in spring.
delay	Unlike other Italian units nearby, it maintained constant contact with the enemy, constantly setting up delaying battles.
delay	In the letter she criticised the BCCI for delaying the decision to institute the lecture.
delay	The departure of "Furious" was delayed by technical difficulties caused by the flight deck, that sloped upwards to a point amidships.
delay	In addition, the glaciers delay the onset of spring-summer runoff, compared to unglaciated river basins.
delay	He considerably hampered his own party's campaign effort by staging a very lavish international farewell tour at taxpayer expense, and by delaying his retirement until there were only two-and-a-half months left in the Tories' five-year mandate.
delay	Cavin designed an active all-pass network to time-align the passbands, slightly delaying the low frequencies to match the highs.
delay	This prompted the British second-in-command, Colonel Arthur Brooke of the 44th Regiment of Foot, to later decide to have his troops remain on the battlefield for the evening and night, treating the wounded at a nearby Methodist meeting house (church), and evacuating some by barge south down Bear Creek to the offshore Fleet in the Patapsco River, thus delaying by a day his northwestward advance against Baltimore.
postpone	Rumours circulated afterwards, and were propagated by film director Pedro Almodóvar, that the government had approached King Juan Carlos and asked him to postpone voting, which the King responded would constitute a coup d'état.
postpone	The Créteil–Laval and L'Entente SSG–Metz matches were postponed due to inclement weather.
postpone	The future wedding is postponed even further when an ambitious business man, by the name of Kirk Cranston, comes to town.
postpone	Following the surgery, Live Nation announced that the opening concert in Salt Lake City, which had been scheduled to take place on 3 June 2010, would be postponed to a later date, with other dates also potentially being affected.
postpone	New schemes are postponed or cancelled and existing schemes are being closed.
postpone	On 6 December 2008, Nicolas Sarkozy, as part of France's then presidency of the Council of the EU, met the Dalai Lama in Poland and outraged China, which has announced that it would postpone the China-EU summit indefinitely.
postpone	The same day, Maldivian President Abdulla Yameen also postponed his state visit to Pakistan indefinitely, in view of the prevailing situation.
postpone	Shortly thereafter, Disney postponed the film's release date to July 9, 2021.
postpone	His father (a working-class Thames waterman) has his doubts, since this will mean Twigg postponing his hard-won scholarship to Oxford University, but they eventually agree.
postpone	Pressured by the military, Khan postponed the inaugural session, and ordered the arrests of Mujibur and Bhutto.
